name,sex,age,height,weight,bmi,country,year,season,city,sport,medal
Juhamatti Tapio Aaltonen,M,28.0,184.0,85.0,25.11,Finland,2014,Winter,Sochi,Ice Hockey,Bronze
Kjetil Andr Aamodt,M,30.0,176.0,85.0,27.44,Norway,2002,Winter,Salt Lake City,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,30.0,176.0,85.0,27.44,Norway,2002,Winter,Salt Lake City,Alpine Skiing,Gold
Kjetil Andr Aamodt,M,34.0,176.0,85.0,27.44,Norway,2006,Winter,Torino,Alpine Skiing,Gold
Ragnhild Margrethe Aamodt,F,27.0,163.0,73.77,27.77,Norway,2008,Summer,Beijing,Handball,Gold
Giovanni Abagnale,M,21.0,198.0,90.0,22.96,Italy,2016,Summer,Rio de Janeiro,Rowing,Bronze
Jos Luis Abajo Gmez,M,30.0,194.0,87.0,23.12,Spain,2008,Summer,Beijing,Fencing,Bronze
Mariya Vasilyevna Abakumova (-Tarabina),F,22.0,179.0,80.0,24.97,Russia,2008,Summer,Beijing,Athletics,Silver
Aleksey Aleksandrovich Abalmasov,M,28.0,180.0,83.0,25.62,Belarus,2008,Summer,Beijing,Canoeing,Gold
Luc Abalo,M,23.0,182.0,86.0,25.96,France,2008,Summer,Beijing,Handball,Gold
Luc Abalo,M,27.0,182.0,86.0,25.96,France,2012,Summer,London,Handball,Gold
Luc Abalo,M,31.0,182.0,86.0,25.96,France,2016,Summer,Rio de Janeiro,Handball,Silver
Stephen Anthony Abas,M,26.0,165.0,55.0,20.2,United States of America,2004,Summer,Athina,Wrestling,Silver
Tamila Rashidovna Abasova,F,21.0,163.0,60.0,22.58,Russia,2004,Summer,Athina,Cycling,Silver
Jol Marc Abati,M,38.0,190.0,85.0,23.55,France,2008,Summer,Beijing,Handball,Gold
"Desmond ""Des"" Abbott",M,21.0,184.0,87.0,25.7,Australia,2008,Summer,Beijing,Hockey,Bronze
Jeremy Abbott,M,28.0,175.0,70.0,22.86,United States of America,2014,Winter,Sochi,Figure Skating,Bronze
Monica Cecilia Abbott,F,23.0,191.0,88.0,24.12,United States of America,2008,Summer,Beijing,Softball,Silver
Nia Nicole Abdallah,F,20.0,175.0,56.0,18.29,United States of America,2004,Summer,Athina,Taekwondo,Silver
Jennifer Abel,F,20.0,160.0,62.0,24.22,Canada,2012,Summer,London,Diving,Bronze
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,23.92,Russia,2012,Summer,London,Gymnastics,Bronze
Denis Mikhaylovich Ablyazin,M,19.0,161.0,62.0,23.92,Russia,2012,Summer,London,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,23.92,Russia,2016,Summer,Rio de Janeiro,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,23.92,Russia,2016,Summer,Rio de Janeiro,Gymnastics,Silver
Denis Mikhaylovich Ablyazin,M,24.0,161.0,62.0,23.92,Russia,2016,Summer,Rio de Janeiro,Gymnastics,Bronze
